"Sector Wise Projects"

"Sr.No.","Sector","Line Ministry","ProjectID","Project Name","Original Cost
(in Cr)","Latest Revised Cost
(in Cr)","Expenditure (Cumm.)
(in Cr)"
"1","Education","Department of Higher Education","602098","Construction of Permanent Campus for IIM Jammu Phase-1 at Jagti, Nagrota, Jammu, J&K","424.93","500.91","484.52"
"2","Education","Department of Higher Education","602099","Establishment of Permanent campus Phase 1 of IIM Sirmaur","392.51","454.78","339.65"
"3","Education","Department of Higher Education","605292","Construction of Permanent Campus of Indian Institute of Management [IIM] Amritsar, Punjab, Phase-I","348.31","386.86","293.24"
"4","Education","Department of Higher Education","606013","Additional Campus of NITPatna","499.21","499.21","449.96"
"5","Education","Department of Higher Education","606112","Tezpur University Projects","153.71","153.71","266.14"
"6","Education","Department of Higher Education","606431","CONSTRUCTION OF PERMANENT CAMPUS FOR IIT PALAKKAD UNDER PHASE 1A","1006.45","1217.4","686.2"
"7","Education","Department of Higher Education","606479","Banaras Hindu University [ Kayakalp of Institute of Medical Sciences]","246","246","212.35"
"8","Education","Department of Higher Education","609019","HEFA projects on development of student hostels, playgrounds, departmental buildings, class room complex and other campus facilities in IIT Kharagpur","500","442","418.86"
"9","Education","Department of Higher Education","609736","Construction of Sikkim University Campus Phase-I Package-II at Yangang, South Sikkim","314.06","340.55","292"
"10","Education","Department of Higher Education","609996","Construction of Precast housing and hostels at IIT Hyderabad","262","262","223.65"
"11","Education","Department of Higher Education","610315","IISER BERHAMPUR","1229.32","843.09","874.09"
"12","Education","Department of Higher Education","611957","Phase III A works at IIT Indore [03 Hostels, 01 Studio Apartment, 01 Housing, Heavy & Sophisticated lab complex, Academic POD and Infrastructure for center of excellence]","496.28","496.28","97.35"
"13","Education","Department of Higher Education","611961","Construction of IIT Bhubaneswar -Phase III","454.27","454.27","102.15"
"14","Education","Department of Higher Education","611963","Construction & Development of Infrastructural Facilities in the main campus of NIT Uttarakhand at Sumari, Pauri Garhwal","650.85","650.85","401.56"
"15","Education","Department of Higher Education","612128","Hostel blocks & dining hall block","166.66","166.66","138.26"
"16","Education","Department of Higher Education","612851","Phase 1B - Construction of Academic Block, Hostel, Residential Tower, Directors Residence and External Development works at National Institute of Technology, Delhi Campus on Engineering, Procurement and Construction basis","333.49","336.42","336.42"
"17","Education","Department of Higher Education","612876","Construction of Permanent Campus for NIT Mizoram at Lengpui, Aizawl","474.23","474.23","167.55"
"18","Education","Department of Higher Education","612877","Establishment of NIT Puducherry Permanent Campus [Phase-I and Phase-II]","618.34","544.34","543.74"
"19","Education","Department of Higher Education","612883","Establishment of Permanent Campus of NIT SIkkim at Khamdong-Gangtok District","685.76","610.76","283.56"
"20","Education","Department of Higher Education","612885","Construction and Developement of National Institute of Technology Meghalaya Permanent Campus at Sohra","494.52","429.7","377.82"
"21","Education","Department of Higher Education","612894","Construction of Permanent Campus of Central University of Himachal Pradesh at Dehra, District - Kangra, [H.P.] on Engineering. Procurement and Construction [EPC Mode 1] Basis.","251.98","300.45","223.6"
"22","Education","Department of Higher Education","612898","Construction of Permanent Campus of National Institute of Technology Arunachal Pradesh","592.61","592.61","551.3"
"23","Education","Department of Higher Education","612916","Construction of permanent campus of Central University of Gujarat at Village kundhela, Dist. Vadodara, Gujarat.","490.63","490.63","342.26"
"24","Education","Department of Higher Education","613008","Construction of Permanent Campus of Central Tribal University of Andhra Pradesh Phase-1","305","305","67.73"
"25","Education","Department of Higher Education","613013","Establishment of NIT Nagaland","275.63","275.63","263.25"
"26","Education","Department of Higher Education","616886","Delhi University Eastern Campus at Surajmal Vihar","373","373","31.53"
"27","Education","Department of Higher Education","617221","Construction of Girls Hostel 400 seater, Boys Hostel 600 seater, Academic Block, International Hostel 100 seater, VC Residence and Purchase of Equipment","210.99","210.99","99.02"
"28","Education","Department of Higher Education","617877","Phase B Construction of Permanent Campus of IIT Bhilai","1188.97","1188.97","1.92"
"29","Education","Department of Higher Education","617878","Phase B of Construction of Permanent Campus of IIT Palakkad","1527","1527","9.8"
"30","Education","Department of Higher Education","619033","1000 seater Boys hostel, 500 seater Girls hostel, 1.5 MLD Sewage Treatment Plant and Faculty Residence - 72 nos. Flats","198.97","198.97","53.01"
"31","Education","Department of Sports","400081","National Sports University [NSU], Imphal [Manipur]","906.47","611.74","577.32"
