project_id,sector,state_region,executing_agency,start_date,original_completion_date,physical_progress_pct,land_acquisition_pct,env_clearance_status,litigation_active,contractor_tier,original_budget_cr,delay_months,revised_budget_cr,expenditure_todate_cr,financial_progress_pct,cost_overrun_pct,risk_level,geo_latitude,geo_longitude,revised_completion_date
PRJ-IN-2026-0001,Urban Metro,West,DMRC,2021-11-27,2023-06-28,38.58464249157715,80.9747758562602,Cleared,False,Tier 2,94.00305579079583,12,109.54298521444005,28.124321447254523,25.674233171753247,16.531302405986033,Medium Risk,10.789882308960012,70.7371040219473,2024-06-27
PRJ-IN-2026-0002,Railways,West,Railways,2018-03-30,2022-07-29,9.922687843741851,57.94014989756353,Cleared,False,Tier 2,199.24546314008518,24,199.24546314008518,69.58187113522968,34.92268784374185,0.0,Low Risk,19.711700064794847,94.21262550745882,2024-07-28
PRJ-IN-2026-0003,Water Resources,South,CWD,2024-10-03,2028-02-02,46.377153053654915,93.51884175219335,Pending,True,Tier 1,149.44611788316888,60,149.44611788316888,55.194320031190266,36.932588690151874,0.0,Low Risk,29.27449056042274,72.27640259540085,2033-02-01
PRJ-IN-2026-0004,Power & Energy,North,PWD,2018-01-18,2021-02-17,79.9224462202173,78.5619052083836,Cleared,False,Tier 3,629.4916587554468,27,629.4916587554468,75.66777025506563,12.020456379782157,0.0,Low Risk,13.548678941202748,97.13134283721013,2023-05-19
PRJ-IN-2026-0005,Highways,South,PWD,2025-01-15,2028-05-16,4.763031121817063,49.405650983406844,In-Review,False,Tier 1,378.56765335873894,14,435.35280136254977,129.5741897592381,29.763031121817065,14.999999999999996,Medium Risk,24.18494033934178,91.20056965790415,2029-07-16
PRJ-IN-2026-0006,Ports & Shipping,North,PWD,2019-08-26,2023-07-26,89.67124686884628,77.53005891277392,Cleared,False,Tier 2,287.65228821710474,24,287.65228821710474,160.16840620561598,55.68125572661161,0.0,Low Risk,22.520803737258966,80.06976883726401,2025-07-25
PRJ-IN-2026-0007,Urban Metro,South,PWD,2023-09-08,2026-10-08,12.315237308907923,84.12112415012908,Cleared,False,Tier 1,335.98646238358543,0,335.98646238358543,125.37414576423956,37.315237308907925,0.0,Low Risk,12.10813001020642,88.13047923773429,2026-10-08
PRJ-IN-2026-0008,Urban Metro,North-East,DMRC,2023-09-11,2025-02-09,65.59808213235564,92.59125075094553,In-Review,False,Tier 1,450.2188300261381,8,450.2188300261381,212.94504633407163,47.29812085418747,0.0,Low Risk,10.029580714813871,93.11903786151645,2025-10-10
PRJ-IN-2026-0009,Highways,North,PWD,2021-08-27,2025-04-27,24.053574521191802,81.57058513710645,Cleared,False,Tier 2,185.87050594389873,10,185.87050594389873,74.10316310996029,39.86816667531256,0.0,Low Risk,35.024210661626164,79.20232673118949,2026-02-25
PRJ-IN-2026-0010,Railways,South,Railways,2022-04-20,2025-09-19,84.49182385958599,86.00396387691313,Cleared,False,Tier 2,1538.4143463891744,24,1538.4143463891744,1372.6072679309104,89.22220929313151,0.0,Low Risk,14.033564616013606,92.00300972100754,2027-09-19
PRJ-IN-2026-0011,Railways,West,Railways,2018-08-02,2022-10-02,1.0352021586795601,44.430236424773085,Cleared,False,Tier 2,101.09985971989057,19,101.09985971989057,26.321552860214958,26.03520215867956,0.0,Low Risk,30.982119520618127,74.87026499528747,2024-05-02
PRJ-IN-2026-0012,Water Resources,East,CWD,2025-03-17,2026-12-16,42.138719279224816,89.15904194194462,In-Review,False,Tier 2,111.02005438389158,11,111.02005438389158,44.17846389093597,39.79322847219397,0.0,Low Risk,30.708744339691826,93.07269504225307,2027-11-15
PRJ-IN-2026-0013,Power & Energy,North,PWD,2018-12-15,2021-03-15,96.19020968852993,79.55674376452257,Pending,False,Tier 1,77.40417672340334,10,77.40417672340334,68.260590897156,88.18721907097974,0.0,Low Risk,21.011773122123813,94.6706610383963,2022-01-13
PRJ-IN-2026-0014,Urban Metro,North,PWD,2023-04-08,2026-08-07,11.289468507127454,40.407232320010294,Pending,False,Tier 3,82.21649343931561,60,82.21649343931561,17.293447764190663,21.034037138734263,0.0,Low Risk,25.005007714140987,91.60054576686038,2031-08-07
PRJ-IN-2026-0015,Railways,North-East,Railways,2018-01-01,2020-01-01,76.06443477954004,79.52465120746277,Pending,False,Tier 1,52.16308214311257,49,59.98754446457945,45.924915640569324,76.55741879497398,14.999999999999995,Medium Risk,26.562633835610313,82.274850389252,2024-01-31
PRJ-IN-2026-0016,Highways,North,NHAI,2023-12-20,2024-12-19,72.66179102301989,84.8527188535817,Cleared,False,Tier 3,54.83069076114467,21,78.86608450494006,54.89977141349106,69.61138207647701,43.83565738483798,High Risk,33.850922194065674,93.27324240277188,2026-09-19
PRJ-IN-2026-0017,Power & Energy,West,NTPC,2020-11-15,2024-01-15,31.91747824609904,40.50978493487706,Cleared,False,Tier 2,176.20555708714116,53,202.98321062080797,115.53292474833177,56.91747824609904,15.196826919836653,Medium Risk,25.818385317282214,76.77075064872902,2028-06-15
PRJ-IN-2026-0018,Highways,West,PWD,2021-11-08,2025-09-08,6.045459598927049,62.98733907104449,Cleared,False,Tier 1,171.28091545628538,36,171.28091545628538,53.17494740865347,31.04545959892705,0.0,Low Risk,27.78829026960792,92.73437581917399,2028-09-07
PRJ-IN-2026-0019,Urban Metro,South,PWD,2018-03-10,2021-01-07,83.30953750219312,80.63589101878324,Cleared,False,Tier 1,121.58861781763879,0,121.58861781763879,59.042048373930854,48.55886137506998,0.0,Low Risk,33.873175071341755,84.91354244524254,2021-01-07
PRJ-IN-2026-0020,Power & Energy,West,PWD,2019-10-02,2023-04-02,90.48786731403361,77.01786619902717,Cleared,False,Tier 1,81.29241759022504,2,86.45471856617947,38.93786773906888,45.038452943736864,6.350285954068072,Low Risk,33.60167724449161,81.70980649285164,2023-06-01
PRJ-IN-2026-0021,Urban Metro,North,DMRC,2021-06-25,2024-10-24,12.783069088665911,81.52499820080465,Cleared,False,Tier 1,1059.474631554926,6,1059.474631554926,400.30203201728625,37.78306908866591,0.0,Low Risk,15.342145953221927,74.40828148039367,2025-04-24
PRJ-IN-2026-0022,Railways,South,Railways,2023-09-29,2026-09-28,84.78278006214758,87.74263552436587,In-Review,False,Tier 1,1379.7409496748503,4,1379.7409496748503,453.9885976767482,32.903901111562654,0.0,Low Risk,16.40494797653477,76.702962369156,2027-01-27
PRJ-IN-2026-0023,Ports & Shipping,South,PWD,2022-10-13,2025-11-12,83.32233584283645,76.70401298249647,Cleared,False,Tier 2,517.2032689919498,8,517.2032689919498,187.5587260322095,36.26402563111581,0.0,Low Risk,31.11477108911498,74.41964874985425,2026-07-13
PRJ-IN-2026-0024,Water Resources,North-East,PWD,2020-02-01,2024-06-01,57.70228783159486,71.72922039637162,In-Review,False,Tier 2,322.94565831236446,27,322.94565831236446,251.8105175845072,77.97303078803034,0.0,Low Risk,27.801935019176526,85.59347582634325,2026-08-31
PRJ-IN-2026-0025,Urban Metro,South,DMRC,2022-10-08,2024-10-07,78.35317476971181,95.29457060847945,Cleared,False,Tier 3,1384.3175952318866,26,1384.3175952318866,758.3581106322313,54.782089980240336,0.0,Low Risk,10.809345103729145,96.17218796435478,2026-12-07
PRJ-IN-2026-0026,Highways,North,PWD,2019-10-14,2023-07-14,3.947888098790897,52.98663986442753,Cleared,False,Tier 2,328.14842294168017,14,328.14842294168017,55.0869670490584,16.787210663769876,0.0,Low Risk,32.686567136091945,83.30448325021399,2024-09-12
PRJ-IN-2026-0027,Railways,North-East,Railways,2022-06-11,2024-03-11,49.61769867694278,93.68993308150512,Cleared,False,Tier 3,50.0,32,50.0,29.03989932947755,58.0797986589551,0.0,Low Risk,27.328955740536557,93.76116739526866,2026-11-10
PRJ-IN-2026-0028,Highways,North,NHAI,2022-04-29,2024-06-28,96.69918328754176,79.28906221403064,Cleared,False,Tier 1,69.53250284291332,11,69.53250284291332,13.186542333044665,18.96457310451701,0.0,Low Risk,18.76285430680734,89.06130464701945,2025-05-28
PRJ-IN-2026-0029,Highways,North-East,NHAI,2019-10-23,2023-12-23,77.52154651798759,75.02644153180283,Cleared,False,Tier 2,251.6591426216844,60,289.408014014937,235.632500776911,81.41878917172953,14.999999999999982,Medium Risk,22.611017550842472,71.33974534667712,2028-12-22
PRJ-IN-2026-0030,Power & Energy,West,PWD,2019-08-09,2021-05-09,26.813439760919643,68.10715555217217,In-Review,False,Tier 1,502.3642820497277,14,502.3642820497277,219.24715654471478,43.64306229140154,0.0,Low Risk,27.282204675106932,79.40634062558088,2022-07-09
PRJ-IN-2026-0031,Power & Energy,East,PWD,2022-02-26,2024-11-26,62.35311995663656,86.98690941587192,Cleared,True,Tier 1,1118.6713371029896,20,1118.6713371029896,63.96281787646646,5.7177488825368705,0.0,Low Risk,20.200427580708386,83.24694094717614,2026-07-27
PRJ-IN-2026-0032,Ports & Shipping,West,PWD,2022-09-12,2028-01-12,21.254981642779647,66.77133403816443,Cleared,False,Tier 2,1085.6742803581114,7,1085.6742803581114,502.1784390800245,46.25498164277965,0.0,Low Risk,22.13263302777271,93.3579223815197,2028-08-12
PRJ-IN-2026-0033,Railways,West,Railways,2025-11-03,2029-11-03,22.21255684780473,54.3627114233161,In-Review,False,Tier 2,689.8587764039326,43,922.4752371801368,435.5241457605936,47.212556847804734,33.7194319667538,High Risk,28.644523384429597,75.58049845437864,2033-06-03
PRJ-IN-2026-0034,Railways,North,Railways,2021-12-18,2024-03-18,18.934585924523617,84.49841772866257,Cleared,False,Tier 3,796.8871912895282,16,796.8871912895282,350.1090877786207,43.93458592452362,0.0,Low Risk,14.90968230494217,87.1928995640534,2025-07-18
PRJ-IN-2026-0035,Railways,North-East,Railways,2021-07-23,2023-12-22,18.998159537458072,92.28939488398666,Cleared,False,Tier 2,157.24937975304593,26,221.85269916435712,97.61110451649076,43.99815953745807,41.08335404105772,Critical,15.220580873416258,79.05362450034552,2026-02-20
PRJ-IN-2026-0036,Highways,North-East,NHAI,2021-10-22,2024-07-22,49.929105988909164,71.29142547048558,Cleared,False,Tier 1,148.37552868094454,20,148.37552868094454,51.892610419789506,34.973833543249185,0.0,Low Risk,13.991382794502243,71.68511259455606,2026-03-22
