sector,project_name,original_cost_cr,revised_cost_cr,anticipated_cost_cr,expenditure_cum_cr,approval_year,original_doc_year,tor_months,delayed,planned_duration_years,cost_overrun_pct,overrun_flag,overrun_ratio,physical_progress
CIVIL AVIATION,OF NEW GREEN FIELD AT HOLLONGI ITANAGAR PRADESH ),645.63,732.0,732.0,693.71,2019,2022.0,,,,13.3776,1,0.133776,99.72
POWER,LOWER H.E.P,6285.33,,,24213.84,2003,2010.0,,,,0.0,0,0.0,96.49
POWER,MULTIPURPOSE PROJECT 2880 PRADESH ),3306.4,,,3306.4,2023,2032.0,0.0,0.0,9.0,0.0,0,0.0,15.74
ROAD TRANSPORT AND HIGHWAYS,OF JORAM KOLORIANG ROAD ON EPC BASIS FROM DESIGN KM. TO KM. 154+036 [EX ) ),180.57,244.1,180.57,160.46,2017,2023.0,,,,35.183,1,0.35183,96.62
ROAD TRANSPORT AND HIGHWAYS,OF 2-LANE ROAD WITH FROM KM16.00 OF SECTION TO KM 21.500 OF ) ),1718.59,,1718.59,728.21,2017,2022.0,,,,0.0,0,0.0,73.64
ROAD TRANSPORT AND HIGHWAYS,OF HAYULIANG? HAWAI ROAD ON EPC BASIS FROM KM. 51.825 TO KM. 63.131 EXISTI ) ),256.66,,256.66,0.0,2017,2023.0,,,,0.0,0,0.0,63.59
ROAD TRANSPORT AND HIGHWAYS,OF 2-LANING WITH HARD OF ARROWA-KHUPA- SECTION OF NH-113 FROM ) ),301.06,,301.06,198.22,2020,2022.0,,,,0.0,0,0.0,81.06
ROAD TRANSPORT AND HIGHWAYS,OF 2 LANE ROAD OF PANGIN SECTION OF NH 13 ) ),450.65,,450.65,,2019,2027.0,,,,0.0,0,0.0,
ROAD TRANSPORT AND HIGHWAYS,OF ITANAGAR TO BANDARDEWA OF NH-415 FROM KM 40+430 TO ) ),496.47,,496.47,194.62,2020,2027.0,,,,0.0,0,0.0,42.69
ROAD TRANSPORT AND HIGHWAYS,KOLORIANG ROAD FROM ) ),184.88,,184.88,99.32,2020,2022.0,38.0,1.0,2.0,0.0,0,0.0,97.42
ROAD TRANSPORT AND HIGHWAYS,HAYULIANG PKG-1 ) ),1262.43,,,12.12,2024,2028.0,,,,0.0,0,0.0,2.35
ROAD TRANSPORT AND HIGHWAYS,ITHUN BRIDGE SECTION ) ),275.5,,275.5,7.61,2024,2027.0,,,,0.0,0,0.0,6.01
ROAD TRANSPORT AND HIGHWAYS,JORGING ROAD PKG-1 ) ),898.19,,898.19,7.08,2024,2027.0,,,,0.0,0,0.0,4.06
CIVIL AVIATION,OF NEW INTEGRATED BUILDING AT LGBI AIRPORT ),1142.0,,,1884.13,2016,2021.0,,,,0.0,0,0.0,87.93
COAL,OCP - 0.2 MTY ),159.77,,159.77,81.45,2022,2030.0,,,,0.0,0,0.0,0.0
HEALTH AND FAMILY WELFARE,INSTITUTE OF MEDICAL SCIENCE ASSAM ),875.0,873.92,860.0,787.9,2017,2021.0,49.0,1.0,4.0,0.0,0,0.0,99.52
PETROLEUM,GGS LIFE EXTENSION PROJECT ),198.7,,198.7,99.52,2023,2026.0,,,,0.0,0,0.0,23.8
PETROLEUM,RECOVERY TURBINE IN PFCCU ),293.5,,293.5,97.22,2023,2025.0,,,,0.0,0,0.0,91.0
PETROLEUM,PROJECT ),370.0,,370.0,255.51,2021,2025.0,,,,0.0,0,0.0,56.1
PETROLEUM,NETWORK PROJECT ),344.99,,344.99,172.04,2023,2026.0,0.0,0.0,3.0,0.0,0,0.0,45.3
PETROLEUM,OF SURFACE FACILITIES AND EVACUATION OF AND NATURAL GAS FROM NA ),543.91,726.93,726.93,491.56,2018,2020.0,,,,33.6489,1,0.336489,93.95
PETROLEUM,REFINERY EXPANSION 6 MMTPA REFINARY ),16013.82,,,16013.82,2019,2024.0,14.0,1.0,5.0,0.0,0,0.0,74.01
PETROLEUM,REFINERY EXPANSION COIT AND PIPELINES ),9447.83,,,9447.83,2019,2024.0,11.0,1.0,5.0,0.0,0,0.0,85.06
PETROLEUM,OF GUWAHATI REFINERY TO 1.2 MMTPA ALONG WITH OF CATALYTIC REFORMING ),412.0,595.2,595.2,,2021,2023.0,,,,44.466,1,0.44466,
PETROLEUM,"OF FACILITIES AT EXISTING TERMINAL, ASSAM )",277.0,,277.0,180.17,2022,2026.0,2.0,1.0,4.0,0.0,0,0.0,66.4
PETROLEUM,OF FACILITIES OF PRODUCT PIPELINE TRANSPORTATION OF ADDIT ),860.0,,860.0,535.46,2021,2024.0,,,,0.0,0,0.0,96.5
PETROLEUM,TO CONSTRUCT A FIELD GAS STATION AT BAGHJAN AREA ),430.76,,430.76,319.86,2020,2024.0,,,,0.0,0,0.0,83.66
PETROLEUM,EXPANSION OF DIGBOI FROM 0.65 TO 1.0 MMTPA ),768.0,,768.0,86.75,2022,2025.0,5.0,1.0,3.0,0.0,0,0.0,33.1
PETROLEUM,OF LPG FACILITIES AT ASSAM ),156.36,156.36,156.36,41.02,2023,2027.0,0.0,0.0,4.0,0.0,0,0.0,31.5
PETROLEUM,"UP OF NEW RAIL FED POL AT KAMARDANGA, ASSAM )",384.04,,384.04,94.0,2023,2027.0,0.0,0.0,4.0,0.0,0,0.0,34.4
