sector,project_name,original_cost_cr,revised_cost_cr,anticipated_cost_cr,expenditure_cum_cr,cost_overrun_pct,overrun_flag,overrun_ratio
Unknown,2,4.0,,5.0,6.0,9.0,1,0.25
ATOMIC ENERGY,"PROTOTYPE FAST BREEDER REACTOR (BHAVINI, 500 MWE) - [020100044",3492.0,,7670.0,6517.22,119.64,1,1.1964490263459335
ATOMIC ENERGY,KAKRAPAR ATOMIC POWER PROJECT - 3 AND 4 - [N02000010,11459.0,,22517.0,21479.0,96.5,1,0.9650056723972423
ATOMIC ENERGY,RAJASTHAN ATOMIC POWER PROJECT -7 AND 8 (2X700 MW) - [N02000027,12320.0,,22924.0,18385.0,86.07,1,0.8607142857142858
ATOMIC ENERGY,KUDANKULAM NUCLEAR POWER PROJECT UNIT-3 and 4 - [N02000028,39849.0,,68893.0,43536.0,72.89,1,0.7288514140881829
CIVIL AVIATION,"CONSTRUCTION OF NEW INTEGRATED TERMINAL BUILDING AT VSI AIRPORT, PORTBLAIR - [N04000073",417.23,,707.73,697.52,69.63,1,0.6962586582939865
CIVIL AVIATION,UPGRADATION OF PASSENGER TERMINAL BUILDING AND AIRSIDE FACILITIES AT TIRUCHIRAPALLI INTERNATIONAL AI - [N04000075,951.28,,1112.49,1093.0,16.95,1,0.16946640316205538
CIVIL AVIATION,"CONSTRUCTION OF COMBINED OPERATIONAL OFFICES FOR DGCA, BCAS, AAIB, AERA AND AAI AT SAFDARJUNG AIRPOR - [N04000076",303.8,,374.98,326.9,23.43,1,0.23429888084265965
CIVIL AVIATION,"CCS INTERNATIONAL AIRPORT , LUCKNOW - [N04000077",1383.0,,3291.81,2092.82,138.02,1,1.3801952277657266
CIVIL AVIATION,CONSTRUCTION OF TERMINAL BUILDING AND ASSOCIATED WORKS AT LEH AIRPORT - [N04000078,480.33,,640.0,339.0,33.24,1,0.3324172964420295
CIVIL AVIATION,"CONSTRUCTION OF NEW INTEGRATED TERMINAL BUILDING, RECONSTRUCTION OF OLD TERMINAL BUILDING, MODIFICAT - [N04000079",475.39,,520.0,504.33,9.38,1,0.09383874292686008
CIVIL AVIATION,"AIRSIDE CAPACITY ENHANCEMENT OF NSBI AIRPORT, KOLKATA - [N04000081",389.71,,392.0,391.78,0.59,1,0.0058761643273203676
CIVIL AVIATION,CONSTRUCTION OF NEW INTEGRATED TERMINAL BUILDING AT LGBI AIRPORT GUWAHATI - [N04000083,1142.0,,2333.0,1091.52,104.29,1,1.042907180385289
CIVIL AVIATION,"CONSTRUCTION OF DOMESTIC PASSENGER TERMINAL BUILDING AT DEHRADUN AIRPORT, DEHRADUN - [N04000085",456.86,,500.0,484.85,9.44,1,0.09442717681565466
CIVIL AVIATION,2,4.0,,5.0,6.0,9.0,1,0.25
CIVIL AVIATION,DEVELOPMENT OF TUTICORIN AIRPORT - [N04000090,380.87,,452.93,271.73,18.92,1,0.18919841415706146
CIVIL AVIATION,CONSTRUCTION OF NEW GREEN FIELD AIRPORT AT HOLLONGI ITANAGAR ARUNACHAL PRADESH - [N04000092,645.63,,712.15,657.33,10.3,1,0.10303114787107163
CIVIL AVIATION,DEVELOPMENT OF AYODHYA AIRPORT PHASE-01 - [N04000094,242.14,,358.0,335.02,47.85,1,0.47848352192946236
CIVIL AVIATION,"EXTENSION OF RUNWAY WITH BLAST PAD, RESA, TAXIWAY, APRON, GSE AREA, ISOLATION BAY, NEW DOMESTIC TERM - [N04000096",255.68,,265.0,262.47,3.65,1,0.03645181476846055
CIVIL AVIATION,"PRAYAGRAJ AIRPORT - CONSTRUCTION OF NEW TERMINAL BUILDING, SECOND LINK TAXI TRACK, APRON EXPANSION, - [N04000102",185.75,,232.52,28.26,25.18,1,0.25179004037685065
COAL,MADHUBAND NLW WASHERY - [N06000126,289.45,,302.0,299.38,4.34,1,0.04335809293487653
COAL,PATHERDIH 2.5 NLW COAL WASHERY - [N06000194,243.0,,334.27,111.51,37.56,1,0.37559670781892995
COAL,2.0 MTPA BHOJUDIH NLW WASHERY - [N06000195,304.13,,341.22,281.17,12.2,1,0.1219544273830271
COAL,HURA - C OC (3 MTY) - [N06000143,359.69,,859.41,316.19,138.93,1,1.3893074592009786
COAL,RANIGANJ MASTER PLAN - [N06000163,2661.73,,5146.48,741.28,93.35,1,0.9335094092939552
COAL,GOPALJI-KANIHA OCP - [N06000229,6107.87,,8416.19,1566.44,37.79,1,0.3779255288668555
COAL,NEYVELI UTTAR PRADESH POWER PROJECT LIMITED 1980 MW - [N06000152,17237.0,,19406.12,17105.55,12.58,1,0.12584092359459298
COAL,RCE OF INDARAM OPENCAST PROJECT - [N06000211,349.28,,424.81,335.24,21.62,1,0.21624484654145681
DEPARTMENT OF HIGHER EDUCATION,"CONSTRUCTION OF IITB RESEARCH PARK AT IIT BOMBAY, POWAI, MUMBAI - [N28000117",223.37,,230.0,141.16,,1,0.029681694050230537
DEPARTMENT OF HIGHER EDUCATION,2,4.0,,5.0,6.0,9.0,1,0.25
DEPARTMENT OF HIGHER EDUCATION,CONSTRUCTION OF PERMANENT CAMPUS OF IIM JAMMU (PHASE 1) - [N28000130,424.93,,500.91,464.38,17.88,1,0.1788059209752195
DEPARTMENT OF HIGHER EDUCATION,CONSTRUCTION OF PERMANENT CAMPUS IIT JAMMU (PHASE 1C) - [N28000131,676.0,,1144.68,54.75,69.33,1,0.6933136094674557
DEPARTMENT OF HIGHER EDUCATION,"CONSTRUCTION OF PERMANENT CAMPUS FOR NATIONAL INSTITUTE OF TECHNOLOGY GOA AT CUNCOLIM, GOA. - [N42000002",303.9,,390.4,360.0,28.46,1,0.2846331029944061
DEPARTMENT OF HIGHER EDUCATION,ESTABLISHMENT OF PERMANENT CAMPUS PHASE 1 OF IIM SIRMAUR - [N42000008,392.51,,446.43,285.47,13.74,1,0.1373722962472294
DPIIT,INDIA INTERNATIONAL CONVENTION AND EXPO CENTRE - [N40000002,4773.0,,5401.0,4709.75,13.16,1,0.1315734338990153
FINANCE,"C/O OF 152 NOS TYPE-II,304 NOS,TYPE-III,76 NOS, TYPE- IV QTRS. FOR INCOME TAX DEPARTMENT AT CHENNAI - [N28000089",209.0,,262.0,205.72,25.36,1,0.2535885167464115
HEALTH AND FAMILY WELFARE,ESTABLISHMENT OF NATIONAL ANIMAL RESOURCE FACILITY FOR BIOMEDICAL RESEARCH AT HYDERABAD - [N28000098,209.84,,281.06,248.29,33.94,1,0.33940144872283645
HEALTH AND FAMILY WELFARE,C/O NEW HOSPITAL BLOCK FOR SREE CHITRA TIRUNAL INSTITIUTE OF MEDICAL SCIENCE AND TECHNOLOGY (SCTIMST - [N28000112,150.29,,162.0,88.39,7.79,1,0.0779160290105796
HEALTH AND FAMILY WELFARE,CONSTRUCTION OF 300 BEDDED HOSPITAL AND TEACHING BLOCK IN DR YS PARMAR GMC AT NAHAN HIMACHAL PRADESH - [N28000127,260.0,,371.78,46.24,42.99,1,0.4299230769230768
HEALTH AND FAMILY WELFARE,"CONSTRUCTION OF AIIMS AT JAMMU VIJAYPUR, SAMBA JAMMU AND KASHMIR - [N21000029",1404.0,,1642.0,1340.12,16.95,1,0.16951566951566951
HOME AFFAIRS,2,4.0,,5.0,6.0,9.0,1,0.25
HOME AFFAIRS,ESTABLISHMENT OF CENTRAL ARMED POLICE FORCE INSTITUTE OF MEDICAL SCIENCES(CAPFIMS) AT NEW DELHI - [N28000071,1219.21,,2091.53,1852.88,71.55,1,0.7154796958686364
HOME AFFAIRS,NSG AT KOLKATA - [N28000104,162.88,,210.83,183.31,29.44,1,0.29438850687622803
HOME AFFAIRS,CONSTRUCTION OF HEADQUARTER BUILDING OF CRPF AT LODHI ROAD NEW DELHI - [N45000002,277.35,,290.33,85.11,4.68,1,0.046800072111050875
MINES,5TH STREAM ALUMINA REFINERY EXPANSION PROJECT - [N10000010,4103.0,5055.0,5677.4,2999.82,38.37,1,0.38371922983183027
MINES,UTKAL D AND E COAL BLOCK - [N10000011,534.0,,1021.97,749.83,91.38,1,0.9138014981273409
MINES,CONVERSION OF FLAT BOTTOM SETTLERS AND WASHERS WITH A SINGLE TRAIN OF HRDS AND DCWS IN STREAMS 1 AND - [N10000012,355.0,,581.0,108.93,63.66,1,0.6366197183098592
MINES,CONSTRUCTION OF RED MUD POND - II AT NALCO DAMANJODI ODISHA - [N10000017,225.79,,270.66,5.0,19.87,1,0.19872447849771926
PETROLEUM,IRUGUR-DEVANGONTHI POL PIPELINE - [N16000234,678.0,,1732.0,532.01,155.46,1,1.5545722713864307
PETROLEUM,CBR 9 MMTPA PROJECT - [N16000434,31580.0,,36354.0,1133.11,15.12,1,0.15117162761241293
PETROLEUM,DURGAPUR-HALDIA PIPELINE PROJECT - [N16000275,1740.0,,2433.15,1885.8,39.84,1,0.3983620689655173
PETROLEUM,KOCHI-KOOTTANAD-BANGALORE-MANGALORE PIPELINE PHASE-II - [N16000285,2915.0,2915.0,5909.0,3876.6,102.71,1,1.0271012006861064
PETROLEUM,60 KTA POLYPROPYLENE PROJECT - [N16000429,910.56,,1299.02,700.4,42.66,1,0.4266165875944474
PETROLEUM,SETTING UP 500KTPA PROPANE DEHYDROGENATION INTEGRATED WITH POLYPROPYLENE UNIT ALONG WITH OFFSITE AND - [N16000430,8797.0,,11256.0,4022.27,27.95,1,0.2795271115152893
PETROLEUM,VISAKH REFINERY MODERNISATION PROJECT - [N16000235,20928.0,,26264.0,25798.72,25.5,1,0.25496941896024466
PETROLEUM,2,4.0,,5.0,6.0,9.0,1,0.25
PETROLEUM,RAJASTHAN REFINERY PROJECT - [N16000513,43129.0,,72937.0,46029.0,69.11,1,0.6911358946416565
PETROLEUM,ENNORE THIRUVALLUR BENGALURU PUDUCHERRY NAGAPATTINAM MADURAITUTICORIN GAS PIPELINE - [N16000253,4497.0,,6025.0,5502.92,33.98,1,0.33978207694018236
PETROLEUM,ADDITIONAL STORAGE TANKS AT PARADIP - [N16000361,462.3,,543.0,445.45,17.46,1,0.17456197274497076
PETROLEUM,R and D CAMPUS II AT FARIDABAD - [N16000375,2281.94,,3219.94,1459.77,41.11,1,0.4110537525088302
PETROLEUM,ACRYLICS OR OXO-ALCOHOL PROJECT AT GUJARAT REFINERY - [N16000382,5251.0,,5894.0,3987.09,12.25,1,0.12245286612073891
PETROLEUM,"SETTING UP LUBE COMPLEX AT VILLAGES AMULLAVOYAL AND VAIKKADU, CHENNAI AS RESITEMENT OF EXISTING FACI - [N16000405",1398.0,,1587.0,1098.0,13.52,1,0.1351931330472103
PETROLEUM,CAPACITY EXPANSION OF PANIPAT REFINERY FROM 15 TO 25 MMTPA - [N16000412,34627.0,,38231.0,11152.75,10.41,1,0.10408063072169117
PETROLEUM,EXPANSION OF GUWAHATI REFINERY FROM 1 TO 1.2 MMTPA ALONG WITH INSTALLATION OF CATALYTIC REFORMING UN - [N16000414,412.0,,509.84,330.54,23.75,1,0.23747572815533974
PETROLEUM,POLY BUTADIENE RUBBER PLANT AT PANIPAT - [N16000458,1459.0,,2102.79,222.33,44.13,1,0.44125428375599723
PETROLEUM,DEVANGONTHI MARKETING TERMINAL - [N16000401,200.0,,304.0,245.26,52.0,1,0.52
PETROLEUM,NUMALIGARH REFINERY EXPANSION PROJECT 6 MMTPA REFINARY - [N16000379,12366.0,,18968.0,10740.74,53.39,1,0.5338832282063724
PETROLEUM,LIFE EXTENSION OF WALL PLATFORMS OF MUMBAI HIGH AND HEERA FIELDS - [N16000213,3190.69,,3375.9,2961.86,5.8,1,0.05804700550664591
PETROLEUM,DEVELOPMENT PLAN OF CBM - BOKARO BLOCK - [N16000239,823.27,,1137.79,1028.58,38.2,1,0.38203748466481224
PETROLEUM,MUMBAI HIGH NORTH REDEVELOPMENT PHASE-IV - [N16000358,3228.8,,3976.67,3897.3,23.16,1,0.23162475222993056
PETROLEUM,REDEVELOPMENT OF LINCH FIELD - [N16000428,631.03,,860.04,242.83,36.29,1,0.362914599939781
