state,n_projects,cost_overrun_pct,tor_min_months,tor_max_months,delay_risk
ANDHRA PRADESH,110,40.8,2,216,1.0
ARUNACHAL PRADESH,26,31.11,11,188,1.0
ASSAM,66,14.13,1,107,0.8916666666666667
BIHAR,92,23.52,2,187,1.0
GOA,6,2.26,5,39,0.325
GUJARAT,90,13.92,1,174,1.0
HARYANA,34,14.43,6,36,0.3
HIMACHAL PRADESH,30,47.96,9,183,1.0
JAMMU AND KASHMIR,51,56.31,2,261,1.0
KARNATAKA,84,3.77,1,177,1.0
KERALA,31,11.44,7,56,0.4666666666666667
MADHYA PRADESH,75,12.84,2,88,0.7333333333333333
MAHARASHTRA,197,11.63,1,97,0.8083333333333333
MANIPUR,34,96.23,8,189,1.0
MEGHALAYA,14,137.05,6,118,0.9833333333333333
MIZORAM,21,75.8,8,136,1.0
NAGALAND,32,38.4,5,132,1.0
ODISHA,78,5.11,1,213,1.0
PUNJAB,44,0.8,3,108,0.9
RAJASTHAN,81,28.86,2,120,1.0
SIKKIM,22,53.93,8,45,0.375
TAMIL NADU,77,26.18,3,171,1.0
TRIPURA,10,5.16,1,30,0.25
UTTAR PRADESH,134,10.69,1,65,0.5416666666666666
WEST BENGAL,61,37.43,9,141,1.0
DELHI,28,4.72,6,75,0.625
CHHATTISGARH,59,2.4,6,144,1.0
JHARKHAND,67,7.83,4,161,1.0
UTTARAKHAND,31,48.8,3,193,1.0
TELANGANA,54,7.36,1,180,1.0
LADAKH,6,6.45,22,37,0.30833333333333335
MULTI STATE,63,29.15,3,202,1.0
