sector,project_name,original_cost_cr,anticipated_cost_cr,expenditure_cum_cr,approval_year,planned_doc_year,tor_months,cost_overrun_pct,reasons,delayed,planned_duration_years,overrun_ratio
Unknown,2,4.0,5.0,6.0,,,9.0,10.0,11,1,,0.1
ATOMIC ENERGY,"PROTOTYPE FAST BREEDER REACTOR (BHAVINI, 500 MWE) - [020100044]BHAVNI,TAMIL NADU",3492.0,7670.0,6517.22,2003.0,2010.0,171.0,119.64,,1,7.0,1.1964
ATOMIC ENERGY,"KUDANKULAM NUCLEAR POWER PROJECT UNIT-3 and 4 - [N02000028]NPCIL,TAMIL NADU",39849.0,68893.0,43536.0,2013.0,2020.0,72.0,72.89,,1,7.0,0.7289
ATOMIC ENERGY,"RAJASTHAN ATOMIC POWER PROJECT -7 AND 8 (2X700 MW) - [N02000027]NPCIL,RAJASTHAN",12320.0,22924.0,18385.0,2009.0,2016.0,120.0,86.07,,1,7.0,0.8606999999999999
CIVIL AVIATION,"UPGRADATION OF JABALPUR AIRPORT - [N04000087]AAI,MADHYA PRADESH",412.24,412.24,398.95,2016.0,2021.0,36.0,0.0,Nil,1,5.0,0.0
CIVIL AVIATION,"C/O NEW GREENFIELD AIRPORT AT HISSAR, RAJKOT, GUJARAT - [N04000088]AAI,GUJARAT",1405.0,1405.0,,2018.0,2022.0,22.0,0.0,Nil,1,4.0,0.0
CIVIL AVIATION,"DEVELOPMENT OF AYODHYA AIRPORT PHASE-01 - [N04000094]AAI,UTTAR PRADESH",242.14,358.0,335.02,2021.0,2022.0,18.0,47.85,As above.,1,1.0,0.47850000000000004
CIVIL AVIATION,"DEVELOPMENT OF GWALIOR AIRPORT PHASE 01 - [N04000098]AAI,MADHYA PRADESH",446.12,446.12,422.59,2021.0,2023.0,10.0,0.0,NIL,1,2.0,0.0
CIVIL AVIATION,"CONSTRUCTION OF DOMESTIC PASSENGER TERMINAL BUILDING AT DEHRADUN AIRPORT, DEHRADUN - [N04000085]AAI,UTTARAKHAND",456.86,500.0,484.85,2018.0,2020.0,46.0,9.44,Nil,1,2.0,0.0944
CIVIL AVIATION,"DEVELOPMENT OF TUTICORIN AIRPORT - [N04000090]AAI,TAMIL NADU",380.87,452.93,271.73,2019.0,2022.0,28.0,18.92,Nil,1,3.0,0.1892
